2025-08-26T23:06:29.256+0300	[34mINFO[0m	logger created
2025-08-26T23:06:29.256+0300	[34mINFO[0m	starting microservice...	{"name": "microservice", "environment": "development"}
2025-08-26T23:06:29.256+0300	[34mINFO[0m	starting gracefull	{"name": "default gin server", "address": "0.0.0.0:8080:8080"}
2025-08-26T23:06:44.050+0300	[34mINFO[0m	request received	{"request_id": "a157b8b2-5db9-452b-ab0b-5b094d1de094", "method": "GET", "path": "/readz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": ""}
2025-08-26T23:06:44.050+0300	[34mINFO[0m	request completed	{"request_id": "a157b8b2-5db9-452b-ab0b-5b094d1de094", "method": "GET", "path": "/readz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "", "status": 404, "latency": "251ns"}
2025-08-26T23:06:44.107+0300	[34mINFO[0m	request received	{"request_id": "fe43da89-6326-464c-8c2e-2972dfae5747", "method": "GET", "path": "/favicon.ico", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "http://localhost:8080/readz"}
2025-08-26T23:06:44.107+0300	[34mINFO[0m	request completed	{"request_id": "fe43da89-6326-464c-8c2e-2972dfae5747", "method": "GET", "path": "/favicon.ico", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "http://localhost:8080/readz", "status": 404, "latency": "261ns"}
2025-08-26T23:07:04.512+0300	[34mINFO[0m	request received	{"request_id": "f0588ffd-0de2-4557-ae9c-5653875e853a", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": ""}
2025-08-26T23:07:05.013+0300	[34mINFO[0m	request completed	{"request_id": "f0588ffd-0de2-4557-ae9c-5653875e853a", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "", "status": 503, "latency": "500.672215ms"}
2025-08-26T23:08:13.693+0300	[34mINFO[0m	request received	{"request_id": "757ac73a-4b00-4c48-9ae7-9b69219eca1c", "method": "GET", "path": "/panic", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": ""}
2025-08-26T23:08:13.693+0300	[31mERROR[0m	panic	{"request_id": "757ac73a-4b00-4c48-9ae7-9b69219eca1c", "method": "GET", "path": "/panic", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "", "panic": "test panic"}
2025-08-26T23:09:33.824+0300	[34mINFO[0m	received shutdown signal	{"name": "microservice", "environment": "development"}
2025-08-26T23:09:33.824+0300	[34mINFO[0m	gracefull stopped	{"name": "default gin server", "address": "0.0.0.0:8080:8080"}
2025-08-26T23:09:33.824+0300	[34mINFO[0m	microservice stopped	{"name": "microservice", "environment": "development"}
2025-08-26T23:09:35.861+0300	[34mINFO[0m	logger created
2025-08-26T23:09:35.862+0300	[34mINFO[0m	starting microservice...	{"name": "microservice", "environment": "development"}
2025-08-26T23:09:35.862+0300	[34mINFO[0m	starting gracefull	{"name": "default gin server", "address": "0.0.0.0:8080:8080"}
2025-08-26T23:09:41.999+0300	[34mINFO[0m	request received	{"request_id": "9c439cea-a732-473b-ba2f-f431d627dbf1", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": ""}
2025-08-26T23:09:42.499+0300	[31mERROR[0m	request completed with error	{"request_id": "9c439cea-a732-473b-ba2f-f431d627dbf1", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "", "status": 503, "latency": "500.676282ms"}
2025-08-26T23:09:48.339+0300	[34mINFO[0m	request received	{"request_id": "28cd6097-d53c-4db6-8759-61e1f1cb0e7e", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": ""}
2025-08-26T23:09:48.527+0300	[34mINFO[0m	request completed	{"request_id": "28cd6097-d53c-4db6-8759-61e1f1cb0e7e", "method": "GET", "path": "/readyz", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36", "referer": "", "status": 200, "latency": "188.307852ms"}
